| d_Mly_min | d_Mly_max | d_Mly | n_det | n_nondet | n_tot |                 cov |                  err |
|       0.0 |       0.2 |   0.1 |  16.0 |     15.0 |  31.0 |  0.5161290322580645 |  0.12903225806451613 |
|       0.2 |       0.4 |   0.3 |  37.0 |    111.0 | 148.0 |                0.25 |  0.04109974682633932 |
|       0.4 |       0.6 |   0.4 |  28.0 |    257.0 | 285.0 | 0.09824561403508772 | 0.018566675867119936 |
|       0.6 |       0.8 |   0.7 |  30.0 |    369.0 | 399.0 | 0.07518796992481203 | 0.013727382393613185 |
